phonetype,name,price,image-src
iPhone X,Ghostek Exec Series iPhone X Wallet Case - Black,"$22.10
$12.99
 Save 41%",https://images.mobilefun.co.uk/graphics/300pixelp/65080.jpg
"Huawei
P20 Pro",Love Mei Powerful Huawei P20 Pro Protective Case - Silver,$39.00 ,https://images.mobilefun.co.uk/graphics/300pixelp/67801.jpg
iPhone SE,Call Candy iPhone 5 / 5S / SE Hard Case - Love Hearts,$10.39 ,https://images.mobilefun.co.uk/graphics/300pixelp/66832.jpg
"Galaxy A5
2017",Official Samsung Galaxy A5 2017 Clear View Cover Case - Blue,"$58.51
$52.01
 Save 11%",https://images.mobilefun.co.uk/graphics/300pixelp/62219.jpg
"iPhone 8 
Plus",Olixar XRing iPhone 8 Plus / 7 Plus Finger Loop Case - Gold,$16.89 ,https://images.mobilefun.co.uk/graphics/300pixelp/64980.jpg
"Galaxy S7
Edge",Ghostek Covert Samsung Galaxy S7 Edge Bumper Case - Clear / Red,"$32.50
$26.00
 Save 20%",https://images.mobilefun.co.uk/graphics/300pixelp/59062.jpg
"Google
Pixel 2",Caseology Vault Series Google Pixel 2 Case - Black,"$28.60
$19.50
 Save 32%",https://images.mobilefun.co.uk/graphics/300pixelp/65409.jpg
"Galaxy 
Note 8",Official Samsung Galaxy Note 8 Clear Cover Case - Clear,"$26.00
$18.20
 Save 30%",https://images.mobilefun.co.uk/graphics/300pixelp/64782.jpg
Galaxy S9,Spigen Liquid Air Samsung Galaxy S9 Case - Matte Black,$19.50 ,https://images.mobilefun.co.uk/graphics/300pixelp/66333.jpg
"Huawei
P20 Lite",Official Huawei P20 Lite TPU Case - Clear,$12.99 ,https://images.mobilefun.co.uk/graphics/300pixelp/67186.jpg
"iPhone 7
Plus",VRS Design Duo Guard iPhone 7 Plus Case - Rose Gold,"$26.00
$9.09
 Save 65%",https://images.mobilefun.co.uk/graphics/300pixelp/61021.jpg
"Huawei
P20 Lite",Olixar FlexiCover Complete Protection Huawei P20 Lite Case - Clear,$16.89 ,https://images.mobilefun.co.uk/graphics/300pixelp/67737.jpg
"Galaxy 
Note 8",Ghostek Nautical Series Samsung Galaxy Note 8 Waterproof Case - Black,$52.01 ,https://images.mobilefun.co.uk/graphics/300pixelp/64859.jpg
"OnePlus
6",Encase OnePlus 6 Leather-Style Thin Case - Red,$19.50 ,https://images.mobilefun.co.uk/graphics/300pixelp/68253.jpg
"Huawei
P20 Pro",Olixar Raptor Huawei P20 Pro Tough Stand Case - Brazen Red,$19.50 ,https://images.mobilefun.co.uk/graphics/300pixelp/68026.jpg
iPhone SE,Spigen Tough Armor iPhone SE Case - Black,"$32.50
$26.00
 Save 20%",https://images.mobilefun.co.uk/graphics/300pixelp/58981.jpg
"Google
Pixel 2",Olixar Primo Genuine Leather Universal Pouch Wallet Case - Black,$26.00 ,https://images.mobilefun.co.uk/graphics/300pixelp/64525.jpg
"iPhone 8 
Plus",LoveCases Marble iPhone 8 Plus / 7 Plus Case - Black,"$19.50
$12.99
 Save 33%",https://images.mobilefun.co.uk/graphics/300pixelp/65303.jpg
Galaxy S9,Ted Baker Mirror Folio Samsung Galaxy S9 Glitter Case - Rose Gold,$52.01 ,https://images.mobilefun.co.uk/graphics/300pixelp/67279.jpg
"Huawei
P20 Lite",Spigen Liquid Air Huawei P20 Lite Thin Case - Matte Black,$20.80 ,https://images.mobilefun.co.uk/graphics/300pixelp/68688.jpg
"Huawei
P20 Pro",Official Huawei P20 Pro Smart View Flip Case - Blue,$26.00 ,https://images.mobilefun.co.uk/graphics/300pixelp/67184.jpg
"Galaxy S8
Plus",Olixar Premium Genuine Leather Samsung Galaxy S8 Plus Case - Black,"$26.00
$23.40
 Save 10%",https://images.mobilefun.co.uk/graphics/300pixelp/63346.jpg
Galaxy S8,Luxury Samsung Galaxy S8 Leather-Style 3-in-1 Wallet Case - Tan,"$26.00
$22.10
 Save 15%",https://images.mobilefun.co.uk/graphics/300pixelp/63595.jpg
Galaxy S7,Olixar Ultra-Thin Samsung Galaxy S7 Case - 100% Clear,$10.39 ,https://images.mobilefun.co.uk/graphics/300pixelp/57111.jpg
"Galaxy S7
Edge",Luphie Blade Sword Samsung Galaxy S7 Edge Aluminium Bumper - Black,"$26.01
$19.50
 Save 25%",https://images.mobilefun.co.uk/graphics/300pixelp/59721.jpg
